year,model,price,mileage,color,transmission
2010,SES,16995,40539,Black,AUTO
2010,SEL,15889,24920,Black,AUTO
2010,SE,15499,7784,Black,AUTO
2010,SE,15499,35636,Black,AUTO
2009,SE,14995,34419,Black,MANUAL
2011,SE,14992,4867,Black,AUTO
2011,SEL,14992,18948,Black,AUTO
2010,SEL,14990,33036,Black,AUTO
2010,SES,14761,44813,Black,AUTO
2010,SES,14677,22143,Black,MANUAL
2010,SE,14495,38275,Black,AUTO
2010,SE,14299,36447,Black,AUTO
2010,SES,14275,35318,Black,AUTO
2010,SE,13997,15167,Black,MANUAL
2010,SE,13995,20278,Black,MANUAL
2009,SES,13995,46126,Black,AUTO
2009,SES,13992,26887,Black,AUTO
2009,SE,13950,9450,Black,AUTO
2010,SE,13950,31414,Black,AUTO
2009,SES,13799,34888,Black,AUTO
2009,SES,13742,38380,Black,AUTO
2009,SES,13425,64055,Black,AUTO
2010,SE,13383,34503,Black,AUTO
2010,SE,12995,21325,Black,AUTO
2010,SE,12995,32743,Black,MANUAL
2010,SE,12780,35871,Black,AUTO
2008,SE,12777,49787,Black,MANUAL
2009,SE,11992,32559,Black,MANUAL
2009,SES,11984,59048,Black,AUTO
2008,SE,11754,38286,Black,AUTO
2010,SE,10717,64199,Black,AUTO
2007,SES,9999,78948,Black,MANUAL
2008,SE,8495,106171,Black,AUTO
2006,SES,7995,35000,Black,MANUAL
2004,SES,6950,119720,Black,AUTO
